London,Abbot's Place,3,100
London,Abbot's Place,5,100
London,Abbot's Place,11,100
London,Abbot's Place,14,100
London,Abbotswell Road,1,100
London,Abbotswell Road,4,100
London,Abbotswell Road,11,100
London,Abbotswell Road,18,100
London,Abbotswell Road,22,100
London,Arbutus Street,5,100
London,Arbutus Street,9,100
London,Arbutus Street,13,100
London,Adams Row,14,100
London,Adams Row,19,100
London,Adams Row,23,100
London,Adams Row,25,100
London,Adams Row,29,100
London,Benhill Road ,2,100
London,Benhill Road ,8,100
London,Buckfast Street,14,100
London,Buckfast Street,22,100
London,Buckfast Street,26,100
London,Bright Mews,20,100
London,Bright Mews,29,100
London,Chudleigh Street,3,100
London,Chudleigh Street,5,100
London,Chudleigh Street,9,100
London,Connaught Close,11,100
London,Connaught Close,17,100
London,Connaught Close,25,100
London,Connaught Close,30,100
London,Darling Road,2,100
London,Darling Road,7,100
London,Deal Street ,6,100
London,Deal Street ,9,100
London,Deal Street ,16,100
London,Deal Street ,20,100
London,Drew Street,2,100
London,Drew Street,4,100
London,Drew Street,8,100
London,English Street,1,100
London,English Street,7,100
London,English Street,11,100
London,English Street,18,100
London,Elia Street,3,100
London,Elia Street,13,100
London,Elia Street,15,100
London,Fairbairn Road,3,100
London,Fairbairn Road,10,100
London,Fairbairn Road,18,100
London,Keesey Street,3,100
London,Keesey Street,5,100
London,Keesey Street,16,100
London,Kidd Cottages,1,100
London,Kidd Cottages,7,100
London,Kidd Cottages,11,100
London,Kidd Cottages,18,100
London,Littlebury Road,3,100
London,Littlebury Road,13,100
London,Littlebury Road,15,100
London,Littlebury Road,19,100
London,Middleton Road ,10,100
London,Middleton Road ,18,100
London,Middleton Road ,25,100
London,Middleton Road ,28,100
London,Milson Road ,4,100
London,Milson Road ,10,100
London,Montpelier Place ,1,100
London,Montpelier Place ,7,100
London,Montpelier Place ,20,100
London,Murdoch Street,2,100
London,Murdoch Street,6,100
London,North End Avenue,3,100
London,North End Avenue,9,100
London,North End Avenue,13,100
London,North End Avenue,19,100
